,MRP,RAM_Size(GB),RAM_Type,Processor,Storage(GB),OS,Brand
658,49990,8,LPDDR4X,Intel Core i3 ,512,Windows,Infinix
659,164990,16,LPDDR5,Intel Core i7 ,512,Windows,ASUS
662,31490,8,DDR4,AMD Ryzen 3 Dual Core ,256,Windows,HP
663,48077,8,DDR4,Intel Core i3 ,512,Windows,DELL
664,154990,16,DDR4,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
665,224990,32,DDR4,Intel Core i7 ,1,Windows,ASUS
668,44990,8,DDR4,Intel Core i5 ,0,Windows,ASUS
669,65990,8,DDR4,Intel Core i5 ,512,Windows,ASUS
672,31990,8,DDR4,Intel Core i3 ,0,Windows,ASUS
673,38980,8,DDR4,Intel Core i3 ,256,Windows,Lenovo
674,68990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
675,43090,8,DDR4,Intel Core i3 ,256,Windows,DELL
682,49348,8,DDR4,Intel Core i3 ,512,Windows,DELL
683,221774,16,DDR5,Intel Core i7 ,512,Windows,DELL
684,73990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,Lenovo
685,77990,16,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,DELL
688,214790,16,DDR4,Intel Core i7 ,1,Windows,ALIENWARE
689,199990,16,DDR4,Intel Core i7 ,512,Windows,ALIENWARE
693,52414,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,DELL
694,179990,16,DDR5,Intel Core i7 ,1,Windows,ASUS
695,25990,4,LPDDR4,Intel Celeron Dual Core ,0,Chrome,ASUS
698,80615,16,DDR4,Intel Core i5 ,512,Windows,DELL
699,155990,16,DDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
702,49990,16,LPDDR4X,Intel Core i7 ,512,Windows,Infinix
703,157990,16,DDR4,Intel Core i7 ,1,Windows,Lenovo
704,92990,16,DDR5,Intel Core i5 ,512,Windows,ASUS
705,171990,16,DDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
709,151990,16,LPDDR5,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
712,233990,16,LPDDR3,Intel Core i7 ,2,Windows,ASUS
713,76590,16,DDR5,Intel Core i5 ,512,Windows,DELL
714,90000,16,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,HP
715,23490,4,LPDDR4,Intel Celeron Dual Core ,0,Chrome,ASUS
718,125990,16,LPDDR5,Intel Core i7 ,512,Windows,ASUS
719,50990,8,DDR4,Intel Core i5 ,256,Windows,Lenovo
